t [s],az NO FLAT [m/s2],az WITH FLAT [m/s2]
    5.902000,   -9.828720,   -9.850140
    5.903000,   -9.829000,   -9.840690
    5.904000,   -9.829270,   -9.845480
    5.905000,   -9.832350,   -9.833910
    5.906000,   -9.832520,   -9.840340
    5.907000,   -9.828980,   -9.826180
    5.908000,   -9.829070,   -9.835660
    5.909000,   -9.829780,   -9.818820
    5.910000,   -9.829840,   -9.834380
    5.911000,   -9.830170,   -9.812340
    5.912000,   -9.830370,   -9.838350
    5.913000,   -9.830660,   -9.805580
    5.914000,   -9.832870,   -9.849380
    5.915000,   -9.833450,   -9.794640
    5.916000,   -9.830880,   -9.871130
    5.917000,   -9.830560,   -9.771220
    5.918000,   -9.831450,   -9.841930
    5.919000,   -9.831050,   -9.842060
    5.920000,   -9.831430,   -9.841130
    5.921000,   -9.831250,   -9.839610
    5.922000,   -9.831580,   -9.837900
    5.923000,   -9.831540,   -9.838840
    5.924000,   -9.831810,   -9.837660
    5.925000,   -9.831800,   -9.832320
    5.926000,   -9.832010,   -9.831530
    5.927000,   -9.832010,   -9.830920
    5.928000,   -9.832170,   -9.830250
    5.929000,   -9.832140,   -9.829840
    5.930000,   -9.832260,   -9.831500
    5.931000,   -9.832210,   -9.831750
    5.932000,   -9.832290,   -9.828960
    5.933000,   -9.832210,   -9.829750
    5.934000,   -9.832280,   -9.830150
    5.935000,   -9.832170,   -9.830350
    5.936000,   -9.832230,   -9.830570
    5.937000,   -9.832100,   -9.832450
    5.938000,   -9.832160,   -9.833060
    5.939000,   -9.831990,   -9.830820
    5.940000,   -9.832090,   -9.831440
    5.941000,   -9.831870,   -9.831850
    5.942000,   -9.832020,   -9.831870
    5.943000,   -9.831710,   -9.831890
    5.944000,   -9.831960,   -9.833510
    5.945000,   -9.831520,   -9.833950
    5.946000,   -9.831930,   -9.831400
    5.947000,   -9.831250,   -9.831590
    5.948000,   -9.831960,   -9.831790
    5.949000,   -9.830850,   -9.831490
    5.950000,   -9.832150,   -9.831300
    5.951000,   -9.830190,   -9.831110
    5.952000,   -9.832650,   -9.832490
    5.953000,   -9.829030,   -9.832900
    5.954000,   -9.833840,   -9.830310
    5.955000,   -9.826790,   -9.830310
    5.956000,   -9.836580,   -9.830590
    5.957000,   -9.822180,   -9.830190
    5.958000,   -9.842870,   -9.830090
    5.959000,   -9.812120,   -9.829850
    5.960000,   -9.857470,   -9.829820
