t [s],az NO FLAT [m/s2],az WITH FLAT [m/s2]
    0.462000,   -9.799035,   -9.799035
    0.463000,   -9.798765,   -9.798765
    0.464000,   -9.798853,   -9.798853
    0.465000,   -9.798542,   -9.798542
    0.466000,   -9.798447,   -9.798447
    0.467000,   -9.798672,   -9.798672
    0.468000,   -9.798911,   -9.798911
    0.469000,   -9.799038,   -9.799038
    0.470000,   -9.799076,   -9.799076
    0.471000,   -9.799091,   -9.799091
    0.472000,   -9.799234,   -9.799234
    0.473000,   -9.799291,   -9.799291
    0.474000,   -9.798928,   -9.798928
    0.475000,   -9.798396,   -9.798396
    0.476000,   -9.798208,   -9.798208
    0.477000,   -9.798635,   -9.798635
    0.478000,   -9.798484,   -9.798484
    0.479000,   -9.797748,   -9.797748
    0.480000,   -9.797599,   -9.797599
    0.481000,   -9.799200,   -9.799200
    0.482000,   -9.800525,   -9.800525
    0.483000,   -9.799843,   -9.799843
    0.484000,   -9.799267,   -9.799267
    0.485000,   -9.800368,   -9.800368
    0.486000,   -9.802630,   -9.802630
    0.487000,   -9.804396,   -9.804396
    0.488000,   -9.804215,   -9.804215
    0.489000,   -9.802477,   -9.802477
    0.490000,   -9.802201,   -9.802201
    0.491000,   -9.806128,   -9.806128
    0.492000,   -9.811220,   -9.811220
    0.493000,   -9.810364,   -9.810364
    0.494000,   -9.800987,   -9.800987
    0.495000,   -9.799232,   -9.799232
    0.496000,   -9.812747,   -9.812747
    0.497000,   -9.826625,   -9.826625
    0.498000,   -9.824093,   -9.824093
    0.499000,   -9.803927,   -9.803927
    0.500000,   -9.796409,   -9.796409
    0.501000,   -9.805289,   -9.805289
    0.502000,   -9.816078,   -9.816078
    0.503000,   -9.823289,   -9.823289
    0.504000,   -9.821665,   -9.821665
    0.505000,   -9.818889,   -9.818889
    0.506000,   -9.819388,   -9.819388
    0.507000,   -9.820986,   -9.820986
    0.508000,   -9.822045,   -9.822045
    0.509000,   -9.822777,   -9.822777
    0.510000,   -9.823121,   -9.823121
    0.511000,   -9.823816,   -9.823816
    0.512000,   -9.824549,   -9.824549
    0.513000,   -9.825336,   -9.825336
    0.514000,   -9.826156,   -9.826156
    0.515000,   -9.827008,   -9.827008
    0.516000,   -9.827855,   -9.827855
    0.517000,   -9.828701,   -9.828701
    0.518000,   -9.829560,   -9.829560
    0.519000,   -9.830417,   -9.830417
    0.520000,   -9.831252,   -9.831252
    0.521000,   -9.832057,   -9.832057
    0.522000,   -9.832814,   -9.832814
    0.523000,   -9.833533,   -9.833533
    0.524000,   -9.834240,   -9.834240
    0.525000,   -9.834927,   -9.834927
    0.526000,   -9.835550,   -9.835550
    0.527000,   -9.836106,   -9.836106
    0.528000,   -9.836612,   -9.836612
    0.529000,   -9.837139,   -9.837139
    0.530000,   -9.837671,   -9.837671
    0.531000,   -9.838228,   -9.838228
    0.532000,   -9.838697,   -9.838697
    0.533000,   -9.839097,   -9.839097
    0.534000,   -9.839176,   -9.839176
    0.535000,   -9.839873,   -9.839873
    0.536000,   -9.840315,   -9.840315
    0.537000,   -9.840401,   -9.840401
    0.538000,   -9.840715,   -9.840715
    0.539000,   -9.840439,   -9.840439
    0.540000,   -9.840471,   -9.840471
    0.541000,   -9.840902,   -9.840902
    0.542000,   -9.839187,   -9.839187
    0.543000,   -9.844591,   -9.844591
    0.544000,   -9.844302,   -9.844302
    0.545000,   -9.850833,   -9.850833
    0.546000,   -9.865911,   -9.865911
    0.547000,   -9.833956,   -9.833956
    0.548000,   -9.795878,   -9.795878
    0.549000,   -9.789241,   -9.789241
    0.550000,   -9.854413,   -9.854413
    0.551000,   -9.904561,   -9.904561
    0.552000,   -9.873405,   -9.873405
    0.553000,   -9.850091,   -9.850091
    0.554000,   -9.835893,   -9.835893
    0.555000,   -9.829184,   -9.829184
    0.556000,   -9.827438,   -9.827438
    0.557000,   -9.830587,   -9.830587
    0.558000,   -9.835717,   -9.835717
    0.559000,   -9.840040,   -9.840040
    0.560000,   -9.841892,   -9.841892
    0.561000,   -9.841362,   -9.841362
    0.562000,   -9.839544,   -9.839544
    0.563000,   -9.837462,   -9.837462
    0.564000,   -9.835718,   -9.835718
    0.565000,   -9.835244,   -9.835244
    0.566000,   -9.834800,   -9.834800
    0.567000,   -9.834577,   -9.834577
    0.568000,   -9.834193,   -9.834193
    0.569000,   -9.831937,   -9.831937
    0.570000,   -9.832063,   -9.832063
    0.571000,   -9.832674,   -9.832674
    0.572000,   -9.833451,   -9.833451
    0.573000,   -9.832178,   -9.832178
    0.574000,   -9.830689,   -9.830689
    0.575000,   -9.831153,   -9.831153
    0.576000,   -9.824946,   -9.824946
    0.577000,   -9.827395,   -9.827395
    0.578000,   -9.819070,   -9.819070
    0.579000,   -9.832938,   -9.832938
    0.580000,   -9.807041,   -9.807041
    0.581000,   -9.859065,   -9.859065
    0.582000,   -9.839554,   -9.839554
    0.583000,   -9.741310,   -9.741310
    0.584000,   -9.869139,   -9.869139
    0.585000,   -9.728451,   -9.728451
    0.586000,   -9.919812,   -9.919812
